2021-12-12_22:54:54,22.70,44.40
2021-12-12_23:54:54,22.60,40.20
2021-12-13_00:54:54,22.40,39.70
2021-12-13_01:54:54,22.20,39.10
2021-12-13_02:54:54,22.10,38.90
2021-12-13_03:54:54,22.10,38.60
2021-12-13_04:54:54,22.00,38.30
2021-12-13_05:54:54,22.00,38.10
2021-12-13_06:54:54,22.00,38.60
2021-12-13_07:54:54,22.30,42.90
2021-12-13_08:54:54,22.50,45.70
2021-12-13_09:54:54,22.70,45.20
